Cornus cf. C. rugosa,sg,Summergreen
Caulophyllum thalictroides,ol,Openland
Vitis cf. V. aestivalis,sg,Summergreen
Acalypha cf. A. rhomboidea,ol,Openland
Monotropa uniflora,ol,Openland
cf. Lobelia siphilitica,ol,Openland
Myosotis,ol,Openland
Prunus americana,sg,Summergreen
Thalictrum dasycarpum-type,ol,Openland
Triodanis,ol,Openland
Tidestromia lanuginosa,ol,Openland
cf. Arabis glabra,ol,Openland
Phlox cf. P. hoodii,ol,Openland
Thalictrum dioicum-type,ol,Openland
Myricaceae undiff.,uk,Unknown
Menyanthes trifoliata/Nephrophyllidium crista-galli,ol,Openland
Prunella-type,ol,Openland
Salix reticulata-type,sg,Summergreen
Ranunculus acris-type,ol,Openland
Prunus-type undiff.,uk,Unknown
Eupatorium-type,ol,Openland
Melampyrum,ol,Openland
Prunus cf. P. serotina,sg,Summergreen
Sorbus,sg,Summergreen
Nuphar polysepala,ol,Openland
Rosaceae (>20 Âµm),ol,Openland
cf. Fraxinus,sg,Summergreen
Quercus-type,sg,Summergreen
Rosaceae (<20 Âµm),ol,Openland
Quercus garryana,sg,Summergreen
cf. Populus,sg,Summergreen
Plectritis,ol,Openland
Acer cf. A. glabrum,sg,Summergreen
Potamogeton-type,ol,Openland
Hydrophyllum virginianum,ol,Openland
Lythrum alatum,ol,Openland
Lythrum salicaria,ol,Openland
Lewisia,ol,Openland
Secale,ol,Openland
Triticum,ol,Openland
Campanula aparinoides-type,ol,Openland
Myrica/Comptonia,sg,Summergreen
Lilium,ol,Openland
Gentiana puberulenta-type,ol,Openland
cf. Linaria canadensis,ol,Openland
cf. Tidestromia,ol,Openland
Rumex cf. R. verticillatus,ol,Openland
Viburnum cf. V. opulus,sg,Summergreen
cf. Parietaria pensylvanica,ol,Openland
Rosaceae cf. Rubus pubescens,ol,Openland
Sanguinaria canadensis,ol,Openland
Tofieldia pusilla,ol,Openland
cf. Mitella nuda,ol,Openland
Classopollis,uk,Unknown
Granabivesiculites inchoatus,uk,Unknown
Lythrum,ol,Openland
Zanthoxylum-type,sg,Summergreen
Lysimachia thyrsiflora,ol,Openland
Viburnum rafinesquianum-type,sg,Summergreen
Lilium philadelphicum-type,ol,Openland
Lysimachia quadriflora-type,ol,Openland
Viburnum opulus-type,sg,Summergreen
Viscaceae sensu stricto,sg,Summergreen
cf. Hypericum,ol,Openland
Hamamelis virginiana,sg,Summergreen
Hamamelidaceae,sg,Summergreen
Collinsia,ol,Openland
Linanthus,ol,Openland
Mertensia,ol,Openland
Purshia,sg,Summergreen
Silene,ol,Openland
Cactaceae,ol,Openland
Salix nigra,sg,Summergreen
Ranunculus flabellaris,ol,Openland
cf. Caltha,ol,Openland
Hamamelis,sg,Summergreen
Chamaesyce-type,ol,Openland
Poaceae (Cerealia-type) undiff.,uk,Unknown
Cirsium-type,ol,Openland
Sanicula,ol,Openland
Cannabis-type,ol,Openland
Euphorbiaceae cf. Chamaesyce,ol,Openland
Stachys,ol,Openland
Typha (tetrad),ol,Openland
Amaranthaceae-type,ol,Openland
